candidate_id,fold_id,mse,rmse,mae,smape,naive_rmse,rmse_ratio,elapsed_seconds,prediction_latency_ms_p95,n_rules,max_rules,max_dictionary_size,dictionary_replacements,dictionary_replacement_rate
vs_beta_floor_0.005,validation_1,0.027498721832496152,0.1658273856529619,0.07676838689228867,1.2225034228980147,0.1675141785043881,0.9899304472822161,1.0262196999992739,1.1826149999999997,14,14,20,81,0.16875
vs_beta_floor_0.005,validation_2,0.009349848803453955,0.09669461620718062,0.0675839017931123,1.1299771581511635,0.09289158279330884,1.0409405599464683,1.0967400999998063,1.14814,10,10,20,100,0.18796992481203006
vs_beta_floor_0.005,validation_3,0.006617284584488164,0.08134669375265453,0.03497128261169101,0.5826185705444114,0.08187701847188959,0.9935229112010578,1.6319042000013724,0.937275,8,8,20,136,0.2328767123287671
vs_forgetting_0.995,validation_1,0.027606251537282914,0.16615129110928664,0.07625659690430031,1.2150675972600178,0.1675141785043881,0.9918640475255904,1.2109001999997417,0.89325,10,10,20,115,0.23958333333333334
vs_forgetting_0.995,validation_2,0.00847502079086946,0.0920598761180432,0.06416358144614459,1.0836625788804055,0.09289158279330884,0.9910464796674178,1.2082196999999724,1.15825,9,9,20,119,0.2236842105263158
vs_forgetting_0.995,validation_3,0.004442362655370672,0.06665105141984387,0.03423766017167263,0.5702212346318878,0.08187701847188959,0.8140385747281067,1.1887964999987162,1.30788,11,11,20,109,0.18664383561643835
vs_forgetting_0.98,validation_1,0.027606015429541022,0.16615058058743287,0.07630458931193464,1.2156587982506648,0.1675141785043881,0.9918598059631143,1.2458397999998851,0.9504149999999997,10,10,20,115,0.23958333333333334
vs_forgetting_0.98,validation_2,0.008474841782571274,0.09205890387448284,0.06416249182070362,1.08364581761279,0.09289158279330884,0.9910360132340649,1.1992384999994101,1.1565450000000002,9,9,20,119,0.2236842105263158
vs_forgetting_0.98,validation_3,0.00444214220115732,0.06664939760535964,0.03423421029890564,0.570163292366318,0.08187701847188959,0.8140183759651926,1.1704702000006364,1.298985,11,11,20,109,0.18664383561643835
vs_dictionary_30,validation_1,0.02760861165626829,0.16615839327662113,0.0762408794026218,1.214906501924683,0.1675141785043881,0.9919064449357554,1.2027278000005026,0.89403,10,10,30,88,0.18333333333333332
vs_dictionary_30,validation_2,0.009030409978122768,0.09502846930327126,0.06371702947034,1.0802842294791954,0.09289158279330884,1.0230040919285137,0.9673339000000851,1.1102599999999996,10,10,30,64,0.12030075187969924
vs_dictionary_30,validation_3,0.0066102025879871944,0.08130315238652923,0.04680810313542278,0.7807994204637755,0.08187701847188959,0.9929911213662795,1.360764900000504,0.906535,10,10,30,75,0.1284246575342466
vs_dictionary_40,validation_1,0.027607814833848644,0.16615599547969567,0.07624266594803256,1.2149253924526704,0.1675141785043881,0.9918921309418781,0.9598796000009315,0.897955,10,10,40,59,0.12291666666666666
vs_dictionary_40,validation_2,0.009480846186752594,0.09736963688313002,0.0679083080328955,1.1531144419171369,0.09289158279330884,1.0482073182000269,0.816129999999248,1.178335,10,10,40,40,0.07518796992481203
vs_dictionary_40,validation_3,0.007985671384297939,0.08936258380495686,0.058111587826199226,0.9675285842604119,0.08187701847188959,1.0914244982630534,0.7328594000009616,0.900605,10,10,40,18,0.030821917808219176
vs_exogenous_paper,validation_1,0.027911782620544747,0.16706819751390373,0.07539714621743321,1.2058859943371107,0.1675141785043881,0.9973376522843248,1.5398310000000492,2.5325100000000003,20,20,20,184,0.38333333333333336
vs_exogenous_paper,validation_2,0.008376551795894461,0.09152350406258744,0.05918226280434446,0.997209884565105,0.09289158279330884,0.9852723068163723,2.11430719999953,2.5612999999999997,20,20,20,230,0.4323308270676692
vs_exogenous_paper,validation_3,0.006710660608499451,0.08191862186645629,0.0322950005105262,0.5421124480489179,0.08187701847188959,1.000508120536668,1.9510729000012361,2.587225,20,20,20,234,0.4006849315068493
vs_exogenous_adaptive,validation_1,0.0279186026295782,0.16708860712082735,0.0755527755649898,1.2086965602368855,0.1675141785043881,0.9974594903705444,1.2573384999996051,2.530305,20,20,30,95,0.19791666666666666
vs_exogenous_adaptive,validation_2,0.008337304261097757,0.09130883999426209,0.05895305159391847,0.993264798744908,0.09289158279330884,0.982961397023792,1.5612533999992593,2.54288,20,20,30,133,0.25
vs_exogenous_adaptive,validation_3,0.006681514901082779,0.08174053401515541,0.03235032900507573,0.5430396455124159,0.08187701847188959,0.9983330553642346,2.0093753000001016,2.60261,20,20,30,192,0.3287671232876712
vs_dynamics_adaptive,validation_1,0.02784493628521604,0.1668680205588118,0.07505489542377496,1.1998851901742937,0.1675141785043881,0.9961426671381172,1.4463408999999956,2.70077,20,20,30,91,0.18958333333333333
vs_dynamics_adaptive,validation_2,0.007452815520044524,0.08632969083718836,0.05663143708119814,0.947314826955374,0.09289158279330884,0.9293596711478024,2.5915397999997367,1.2512849999999998,11,11,30,223,0.4191729323308271
vs_dynamics_adaptive,validation_3,0.006736769455264444,0.08207782560024629,0.0349760294397593,0.5869819080273035,0.08187701847188959,1.0024525456850342,3.1034163999993325,1.5726349999999998,15,15,30,233,0.398972602739726
