candidate_id,fold_id,mse,rmse,mae,smape,base_rmse,naive_rmse,rmse_ratio_vs_base,rmse_ratio_vs_naive,elapsed_seconds,correction_latency_ms_p95,max_rules,max_dictionary_size,dictionary_replacements,dictionary_replacement_rate,correction_weight,correction_limit
hybrid_dynamics_conservative,validation_1,0.02726504023120546,0.16512128945476853,0.07914033995520765,1.2446745719423493,0.16545462374769737,0.1675141785043881,0.9979853431389313,0.9857153043940284,1.082855100001325,2.1617499999999996,20,20,106,0.24766355140186916,0.5,0.1
hybrid_dynamics_conservative,validation_2,0.006951526414258169,0.08337581432440806,0.0510133681073059,0.8562118001153156,0.08441356213009261,0.09289158279330884,0.9877063853307689,0.8975604873686552,1.3464674999995623,1.9591949999999996,17,20,162,0.3375,0.5,0.1
hybrid_dynamics_conservative,validation_3,0.004248868042689445,0.06518334175761047,0.02750084956186926,0.4597812994682673,0.065304305620097,0.08187701847188959,0.9981476893240359,0.7961127917718391,1.66187969999919,2.2282699999999998,20,20,183,0.34398496240601506,0.5,0.1
hybrid_dynamics_adaptive,validation_1,0.027152312211023804,0.1647795867546214,0.07885554703732718,1.2409456524593248,0.16545462374769737,0.1675141785043881,0.995920108016411,0.9836754609419819,1.0842308000010235,1.54391,19,30,81,0.18925233644859812,0.75,0.15
hybrid_dynamics_adaptive,validation_2,0.0068042488393856996,0.08248787086224071,0.050546568616085225,0.845593406479262,0.08441356213009261,0.09289158279330884,0.9771874184756693,0.8880015646388844,1.5908563000011782,1.178435,14,30,147,0.30625,0.75,0.15
hybrid_dynamics_adaptive,validation_3,0.00443829750023704,0.0666205486335638,0.03193425533720366,0.5333756648374942,0.065304305620097,0.08187701847188959,1.0201555318744824,0.8136660307975954,2.216756900001201,2.0673649999999992,18,30,193,0.36278195488721804,0.75,0.15
hybrid_exogenous_paper,validation_1,0.027273479644635654,0.1651468426723189,0.07928584445095556,1.2470890068462477,0.16545462374769737,0.1675141785043881,0.9981397855895052,0.9858678480042382,1.4562404000007518,2.5620249999999998,20,20,171,0.39953271028037385,1.0,
hybrid_exogenous_paper,validation_2,0.0070038866012421775,0.08368922631523235,0.05106443281676487,0.8579867999799073,0.08441356213009261,0.09289158279330884,0.991419200936646,0.9009344420521667,1.6012325000010605,2.5597899999999996,20,20,185,0.3854166666666667,1.0,
hybrid_exogenous_paper,validation_3,0.004262185064564416,0.06528541234122992,0.02757398454522509,0.4610045513883259,0.065304305620097,0.08187701847188959,0.9997106886186496,0.7973594246552104,1.9075140000004467,2.5866949999999997,20,20,229,0.43045112781954886,1.0,
hybrid_exogenous_conservative,validation_1,0.027323480576448532,0.1652981566032983,0.07928149625661675,1.246887293577925,0.16545462374769737,0.1675141785043881,0.9990543199044248,0.9867711382948294,1.411430999998629,2.57199,20,20,163,0.3808411214953271,0.5,0.1
hybrid_exogenous_conservative,validation_2,0.007118465446513131,0.08437099884743057,0.051525247202253925,0.8659461397080225,0.08441356213009261,0.09289158279330884,0.9994957767260616,0.9082738856454062,1.4720168000003468,2.58881,20,20,168,0.35,0.5,0.1
hybrid_exogenous_conservative,validation_3,0.004264136333799306,0.06530035477544748,0.027643109819063396,0.46204222639636017,0.065304305620097,0.08187701847188959,0.9999395010082106,0.797541923169402,1.7896632000010868,2.6071849999999994,20,20,224,0.42105263157894735,0.5,0.1
hybrid_exogenous_adaptive,validation_1,0.02738131146640018,0.1654729931632355,0.07951104340278312,1.2506756401257657,0.16545462374769737,0.1675141785043881,1.000111023887529,0.9878148503047511,1.169132899998658,2.502855,20,30,93,0.21728971962616822,0.75,0.15
hybrid_exogenous_adaptive,validation_2,0.007024954575135176,0.08381500208873813,0.051406768105192555,0.8632183873166114,0.08441356213009261,0.09289158279330884,0.9929091957944859,0.9022884481926977,1.2385768000003736,2.52768,20,30,90,0.1875,0.75,0.15
hybrid_exogenous_adaptive,validation_3,0.0042653992754995585,0.06531002431097051,0.027911330250907102,0.46650943236547376,0.065304305620097,0.08187701847188959,1.0000875698902119,0.7976600214551419,1.9230580999992526,2.5888,20,30,193,0.36278195488721804,0.75,0.15
