date,actual,persistence,arima,cond_lower,cond_upper,cond_sigma,fixed_lower,fixed_upper
2023-02-05,6.32,6.39,6.392477846648472,6.338806541151415,6.480812167455322,0.045768796091619365,6.337691261746894,6.450351505529907
2023-02-12,6.1,6.32,6.302655073460694,6.225240920073147,6.4286012305292175,0.06561609591370338,6.245168644080872,6.36052873234213
2023-02-19,6.05,6.1,6.045487373733609,5.939096349838555,6.218374195973103,0.08940821537947335,5.9869307802319,6.1033610326150445
2023-02-26,6.02,6.05,6.037610766757639,5.97874232339537,6.132081443519709,0.049884147957960104,5.979054173255928,6.095484425639074
2023-03-05,6.0,6.02,6.012566460054583,5.991839034604378,6.045808128695057,0.01752044584189857,5.954009866552873,6.070440118936019
2023-03-12,5.97,6.0,5.995044306703056,5.940938553245544,6.081846247234338,0.04575378383418379,5.9364877132013465,6.052917965584491
2023-03-19,5.94,5.97,5.962566460054583,5.909040058006746,6.0484957237339385,0.04522137160628377,5.904009866552872,6.020440118936018
2023-03-26,5.86,5.94,5.932524045210762,5.817455470786401,6.117514185269057,0.09712926188962209,5.873967451709053,5.990397704092198
2023-04-02,5.84,5.86,5.840064120562032,5.7913075837853905,5.917830801493056,0.04117861057250983,5.780018110194755,5.897937779443468
2023-04-09,5.83,5.84,5.835016030140507,5.792612702933133,5.903038926177878,0.03578488676398972,5.77497001977323,5.892889689021943
2023-04-16,5.79,5.83,5.827508015070254,5.746850853822927,5.95780040493688,0.06805135758028175,5.767462004702977,5.88538167395169
2023-04-23,5.77,5.79,5.780032060281016,5.75012699536562,5.828264363646153,0.025298714133045193,5.7199860499137385,5.8379057191624515
2023-04-30,5.7,5.77,5.765016030140507,5.728672526671462,5.8240300481545555,0.030780301142279174,5.70497001977323,5.822889689021943
2023-05-07,5.57,5.7,5.682556105491778,5.639580620343601,5.7499106260191715,0.03568012760453412,5.619506059432591,5.740429764373213
2023-05-14,5.46,5.57,5.5376041959133016,5.466870325316843,5.646183608071061,0.05915225558033245,5.470233329427509,5.595477854794737
2023-05-21,5.24,5.46,5.432588165772794,5.394698706587782,5.490383303588184,0.031536300450254684,5.365217299287001,5.490461824654229
2023-05-28,5.16,5.24,5.185176331545588,5.14682400929235,5.240598964518706,0.03194874527882827,5.115400095544465,5.243049990427023
2023-06-04,5.13,5.16,5.140064120562032,5.1066348598709945,5.188489516812628,0.02787199760403723,5.072693254076239,5.197937779443468
2023-06-11,5.1,5.13,5.122524045210762,5.0901992438554995,5.169601026868836,0.026933498906242664,5.055153178724969,5.180397704092197
2023-06-18,5.05,5.1,5.092524045210761,5.052247772292459,5.151380623925767,0.03362252441953726,5.029473999151574,5.150397704092197
2023-06-25,5.04,5.05,5.036415696539788,5.005539315267776,5.080596575328753,0.02531258486796173,4.973365650480601,5.094289355421224
2023-07-02,5.02,5.04,5.037283139307958,4.981854998566971,5.116995414696408,0.04527303797290175,4.97723712894068,5.095156798189393
2023-07-09,5.01,5.02,5.014566278615915,4.981802273284044,5.061729494428203,0.026696547321834324,4.954520268248637,5.07243993749735
2023-07-16,4.99,5.01,5.007283139307957,4.952364608554611,5.086412735199018,0.04452922980328761,4.94723712894068,5.065156798189393
2023-07-23,4.98,4.99,4.984566278615915,4.953618969957267,5.029123901879769,0.025092230065360373,4.924520268248638,5.042439937497351
2023-07-30,5.0,4.98,4.977283139307958,4.934702185811805,5.038681395334665,0.03448498108068057,4.91723712894068,5.035156798189393
2023-08-06,5.08,5.0,5.005433721384085,4.965871943760644,5.062537341821218,0.03210424915399118,4.945387711016807,5.06330738026552
2023-08-13,5.5,5.08,5.101734885536339,5.041615516745629,5.18999428462346,0.049342464096061606,5.041688875169061,5.1617936437761855
2023-08-20,6.05,5.5,5.614108149065779,5.574111394946108,5.674619270649565,0.03396378565208326,5.554062138698502,5.681260037389036
2023-08-27,6.13,6.05,6.199427338062329,6.147727425921203,6.278206111953381,0.046229006801141406,6.139381327695052,6.272915308121209
2023-09-03,6.18,6.13,6.151734885536339,6.085038041975747,6.249980996018992,0.05799919819232512,6.0886848394771516,6.225222855595218
2023-09-10,6.2,6.18,6.193584303460211,6.121927336682685,6.299229181934806,0.06238222550674455,6.130534257401024,6.267072273519091
2023-09-17,6.22,6.2,6.205433721384085,6.114447254261997,6.339689292358592,0.07922070814041943,6.142383675324898,6.278921691442965
2023-09-24,6.22,6.22,6.226727192380562,6.1683900438054335,6.312074430047227,0.050664256154488184,6.163677146321374,6.300215162439441
2023-10-01,6.22,6.22,6.22,6.1691779253393575,6.294500500154505,0.04428202302139674,6.156949953940813,6.293487970058879
2023-10-08,6.2,6.22,6.22,6.1476684473970895,6.326224196104318,0.06304703204760713,6.156949953940813,6.293487970058879
2023-10-15,6.18,6.2,6.193272807619438,6.112605649311055,6.310898552478909,0.07008321156523017,6.130222761560251,6.266760777678318
2023-10-22,6.25,6.18,6.173272807619437,6.096682558539378,6.283472373458776,0.06601225887580923,6.11022276156025,6.240424695942693
2023-10-29,6.26,6.25,6.273545173331968,6.223676270272408,6.344977951120661,0.04306146324826337,6.210495127272781,6.347033143390847
2023-11-05,6.24,6.26,6.263363596190281,6.181164983707487,6.380866168571513,0.07075408461121799,6.200313550131094,6.336851566249161
