residual_arima,residual_ridge,residual_persistence,residual_vs_epl_krls,residual_ensemble
0.06190845273024159,0.04462632399350319,0.06599999999999984,0.061151161530833775,0.06168126537041996
0.12511976966893368,0.12819419861166548,0.1459999999999999,0.14097786738321982,0.1298771989832197
-0.04196981494200269,-0.0025833976678883985,0.008000000000000007,0.0023574664717900262,-0.0286716305178647
-0.018341079498249258,-0.033475657501947254,0.0,-0.005445671018883047,-0.014472456954439217
0.0011388235583096318,-0.03159851712779993,0.006999999999999673,0.0017773818667539132,0.001330391050843538
-0.003948923640864521,-0.032868325838286694,0.0,-0.005052927905549787,-0.00428012492027019
-0.0019999999999997797,-0.02022610784350931,-0.0019999999999997797,-0.006861875726083433,-0.0034585627178245204
0.017703125722991153,-0.0011645430698647985,0.017000000000000348,0.012324576867066561,0.016089561066213953
0.23802343135457793,0.22818830786485034,0.24399999999999977,0.2394112899105565,0.2384397889213714
0.7532186617951249,0.8564710513640401,0.8390000000000004,0.8334937567617544,0.7773011902851144
-0.37196124079463466,0.020530837369087784,-0.07699999999999996,-0.08589312040239161,-0.286140804676962
0.08307034033514515,-0.0266397192574388,0.05600000000000005,0.04770731030081965,0.07246143132484839
-0.019687520243741652,-0.09118736468995525,0.0,-0.00825997425626035,-0.01625925644749593
-0.008000000000000007,-0.08753974397967834,-0.008000000000000007,-0.016012614577480377,-0.010403784373243852
0.013812502891962453,-0.007235013683675184,0.010999999999999233,0.0032503236063616825,0.010643849106283021
0.00413280852355058,-0.012457185221094846,0.008000000000000007,0.00042900653069732897,0.0030216679256955814
0.031187497108037476,0.01668309883299024,0.034000000000000696,0.02660846266056094,0.029813786773795314
0.1830468627091557,0.17435808046778511,0.1949999999999994,0.18768851372574513,0.18443935801413236
0.03144524200839971,0.07898395946161862,0.10000000000000053,0.09222310602851369,0.04967860121443479
-0.04736337656996792,-0.0893845764268626,-0.020000000000000462,-0.02790732485152425,-0.0415265610544342
-0.03452732468600672,-0.13007081422677835,-0.040000000000000036,-0.04764790508579875,-0.03846349880594335
0.010945350627987516,-0.09034476453361506,0.0,-0.0073387328147838105,0.0054601255951567396
0.020000000000000462,-0.05110326620172856,0.020000000000000462,0.012834057062304893,0.017850217118692946
0.6445273246860062,0.580645167858874,0.6499999999999995,0.6429393913497634,0.6440509446851337
-0.18786194770478915,0.014423872469407684,-0.009999999999999787,-0.018790585703896134,-0.13714053910452062
-0.03726366234300471,-0.11282782567416749,-0.040000000000000036,-0.04856873349507396,-0.04065518368862531
-0.03905464937201231,-0.13889084803135532,-0.04999999999999982,-0.05827308770012607,-0.04482018087044626
-0.01631831171501652,-0.12236571217128756,-0.03000000000000025,-0.0379627574022976,-0.022811645421200843
-0.03179098702900962,-0.129671777949393,-0.040000000000000036,-0.047718592523313674,-0.036569268677300926
-0.029054649372013408,-0.1292073261980402,-0.040000000000000036,-0.047458247593266556,-0.034575728838389
-0.14905464937201263,-0.2457604368038968,-0.16000000000000014,-0.16720827335966515,-0.1545007365683082
-0.13621859748805143,-0.28184643324259806,-0.17999999999999972,-0.18666705005620798,-0.15135313325849786
-0.07804715543398633,-0.22150155672431726,-0.1200000000000001,-0.10086858632710172,-0.08489358470191988
0.007968563044009613,-0.11220175206888428,-0.019999999999999574,-0.02755675732735341,-0.0026890330673987606
-0.025338572825998718,-0.10344408749935408,-0.03000000000000025,-0.051296033702572075,-0.03312581108897117
-0.013007859238997277,-0.0918215853925739,-0.019999999999999574,-0.030409269074306522,-0.018228282189590495
-0.11533857282599858,-0.19033478153948735,-0.1200000000000001,-0.10829454956649887,-0.11322536584814813
-0.06203143695599067,-0.17706581423041357,-0.08999999999999986,-0.06147994250366651,-0.061865988620292356
-0.049023577716993394,-0.15373738409077653,-0.07000000000000028,-0.04741002484784396,-0.04853951185624794
0.006314995109005572,-0.08850351945274415,-0.009999999999999787,0.0016049655103627103,0.004901986229413069
0.07233071358700016,0.004184392897792044,0.0699999999999994,0.0758628162901962,0.07339034439795977
-0.056314995109005395,-0.0876884847097763,-0.040000000000000036,-0.04502121227303135,-0.05292686025821247
0.03932285434800331,-0.034564173864892744,0.03000000000000025,0.04707461419293413,0.04164838230148327
-0.006992140761002297,-0.0523385419254776,0.0,0.006947941545873526,-0.00281011606893955
-0.019999999999999574,-0.07553596660654183,-0.019999999999999574,-0.01415907960237206,-0.018247723880711497
-0.005134357955510538,-0.02432275110354709,-0.010000000000000675,-0.013611756472548642,-0.007677577510621703
-0.007567178977754274,-0.024686393688635455,-0.009999999999999787,-0.01794271832398664,-0.01067984078162354
-0.03756717897775541,-0.057029739636247356,-0.040000000000000036,-0.054651608032033394,-0.04269250769403854
-0.1402687159110192,-0.17299747555384926,-0.14999999999999947,-0.16520210930114043,-0.1477487339280552
-0.023507684666324025,-0.10234812527954418,-0.0600000000000005,-0.07048134631141334,-0.03759978315985002
-0.025403073866529624,-0.06655965224260907,-0.040000000000000036,-0.042201614561875544,-0.030442636075133755
0.13973128408898017,0.11170279139166794,0.1299999999999999,0.1201713971662901,0.13386331801217377
-0.07162667328918637,-0.02365197334829272,-0.040000000000000036,-0.06922451576897792,-0.07090602603312401
-0.03026871591101976,-0.051823407064551574,-0.040000000000000036,-0.05748010192139663,-0.03843213171413229
-0.04026871591101955,-0.06520024492922882,-0.04999999999999982,-0.05368455473611444,-0.044293467558548016
0.022164105111225574,-0.005684602031091224,0.009999999999999787,-0.000958709343162667,0.015227260774909546
-0.07243282102224491,-0.07688928516093352,-0.0699999999999994,-0.08925980459415239,-0.07748091609381635
-0.20297025284428472,-0.2447420361110293,-0.22000000000000064,-0.21582387254353197,-0.20682633875405898
0.004705570523107383,-0.09109733290881916,-0.04999999999999982,-0.03995560158010569,-0.00869278110785654
-0.017566915790203197,-0.0364510272307923,-0.03000000000000025,-0.03180838075338599,-0.021839355279157147
